Latitude,Longitude,Altitude,eOrw,nOrs,Date,Course,Speed,BrdTemp,Pressure,relHumidity
-5.4408,-128.8481,513.3,W,N,2023-06-01 04:00:00,180.6,9.2,46.9,1002.33,1049.73
-76.5604,-84.6787,2289.0,E,S,2023-06-01 11:00:00,75.4,27.4,7.7,1069.04,1080.21
-12.2199,13.8083,4911.0,W,N,2023-06-01 13:00:00,208.3,10.5,-45.0,1074.9,1011.36
-41.2982,14.0475,2151.1,W,N,2023-06-01 13:00:00,205.8,20.7,-14.3,964.87,1027.46
-39.8958,-141.417,1865.6,W,S,2023-06-01 14:00:00,143.0,14.9,37.9,1084.85,906.79
85.2986,23.3261,3947.6,E,N,2023-06-01 07:00:00,96.5,28.6,-7.4,913.6,955.95
-21.839,149.8942,4275.4,W,N,2023-06-01 20:00:00,27.2,25.8,21.7,1096.05,1027.26
-15.106,114.8083,4927.0,W,N,2023-06-01 16:00:00,74.6,28.6,-12.4,940.83,1055.05
24.544,93.4506,438.7,E,S,2023-06-01 03:00:00,223.4,13.6,6.5,1036.59,1066.48
81.767,101.6668,2144.7,W,N,2023-06-01 00:00:00,315.5,12.8,-40.3,966.16,1070.69
22.4357,-102.2054,3867.3,W,N,2023-06-01 13:00:00,82.0,0.5,-12.6,916.59,921.0
68.0729,-30.213,4290.0,W,S,2023-06-01 10:00:00,42.9,26.9,-49.6,957.8,1091.45
-57.4252,-157.9197,3783.6,E,N,2023-06-01 01:00:00,57.1,5.5,-22.8,1067.77,975.84
-45.1537,-47.1206,664.0,W,S,2023-06-01 08:00:00,151.1,24.4,4.6,993.72,996.75
73.9213,114.1597,3019.4,E,S,2023-06-01 08:00:00,194.8,16.5,-40.3,1083.56,938.75
35.3414,-14.0286,2924.7,W,N,2023-06-01 02:00:00,254.8,19.8,-46.1,955.07,949.56
-6.4281,-19.1586,2074.6,W,N,2023-06-01 05:00:00,175.0,26.6,-29.6,935.34,1067.61
-8.9531,-113.998,2296.4,W,N,2023-06-01 01:00:00,250.1,26.0,-49.8,956.42,1019.09
-64.5184,-1.4725,622.8,E,N,2023-06-01 07:00:00,21.3,12.0,-19.8,926.53,1083.47
-0.9342,-103.3728,4384.9,E,N,2023-06-01 11:00:00,245.9,21.1,-30.8,1045.7,1009.94
16.9676,153.0993,720.9,W,N,2023-06-01 17:00:00,33.2,24.9,-36.2,951.9,1051.61
73.3099,76.783,4779.3,W,N,2023-06-01 23:00:00,214.0,23.1,-9.0,937.56,964.38
-84.0459,-2.2045,2443.8,E,N,2023-06-01 13:00:00,66.0,9.3,9.7,1010.26,902.59
62.4139,-146.5782,2689.5,W,S,2023-06-01 00:00:00,275.6,2.4,30.9,1054.63,1096.63
-35.6921,-92.72,154.0,W,S,2023-06-01 12:00:00,193.9,27.1,0.8,1014.13,983.22
63.3774,51.8688,3340.5,E,N,2023-06-01 17:00:00,336.5,0.6,42.6,1064.01,1092.46
20.0272,-99.5187,174.1,W,S,2023-06-01 20:00:00,159.2,25.2,22.6,1062.28,923.45
72.9828,43.5406,778.2,E,N,2023-06-01 06:00:00,120.6,16.9,-42.1,1022.3,989.45
-41.5407,179.4425,1306.1,E,N,2023-06-01 04:00:00,40.8,26.0,-8.3,939.62,1012.53
-41.8201,-71.9439,4558.6,W,N,2023-06-01 21:00:00,178.0,0.7,1.6,1051.56,933.01
30.9683,-58.7622,4586.4,E,N,2023-06-01 17:00:00,346.5,2.8,45.0,1018.07,913.86
-76.8541,57.7856,3073.9,W,S,2023-06-01 12:00:00,261.7,22.8,3.6,962.63,974.53
-57.3389,-126.8736,503.4,E,N,2023-06-01 21:00:00,299.2,8.1,-13.0,936.93,1066.69
79.1319,121.7384,1762.2,E,N,2023-06-01 04:00:00,24.8,13.7,21.6,1011.89,958.25
-37.6984,-29.5383,3482.9,E,S,2023-06-01 14:00:00,166.1,29.1,-12.1,1049.45,951.87
-85.8529,33.2654,4151.7,E,S,2023-06-01 04:00:00,299.4,8.6,-44.7,900.2,1040.65
