Latitude,Longitude,Altitude,eOrw,nOrs,Date,Course,Speed,BrdTemp,Pressure,relHumidity
0.4116,138.8188,2785.5,W,N,2023-06-01 06:00:00,284.3,12.2,22.9,1053.86,958.65
-75.2418,173.994,1293.2,W,N,2023-06-01 16:00:00,242.6,26.7,49.3,998.73,934.27
88.0294,-49.2919,4626.7,E,N,2023-06-01 13:00:00,85.7,11.0,-36.8,900.02,1058.51
-63.0295,57.933,3618.4,E,N,2023-06-01 01:00:00,299.5,11.7,-15.4,1013.4,946.71
-40.6423,143.8892,2600.8,W,N,2023-06-01 10:00:00,202.5,2.4,-10.3,921.0,957.72
70.2232,64.6271,3782.4,E,S,2023-06-01 14:00:00,58.9,22.6,31.6,912.84,926.54
-23.4482,-27.3269,571.0,W,N,2023-06-01 02:00:00,334.8,0.6,-16.2,993.87,915.84
-73.6891,174.5474,4219.4,E,N,2023-06-01 05:00:00,52.3,13.2,-11.4,1074.77,1075.42
63.5496,84.9715,670.2,E,S,2023-06-01 15:00:00,225.3,17.8,-39.0,1002.83,1059.0
80.544,62.5524,4479.1,W,N,2023-06-01 02:00:00,346.7,0.7,-14.0,907.85,939.45
37.262,-46.8316,2818.8,W,N,2023-06-01 13:00:00,349.6,4.7,-16.0,984.54,1085.33
-80.0288,49.8155,2495.6,W,N,2023-06-01 15:00:00,176.9,23.7,-45.9,1038.63,1061.16
-19.2793,127.506,697.4,E,S,2023-06-01 20:00:00,211.8,26.1,-24.6,985.02,1096.65
58.8374,23.4013,1800.3,E,S,2023-06-01 22:00:00,304.6,4.2,12.1,1040.67,996.18
63.5286,-24.5413,1320.5,W,N,2023-06-01 07:00:00,236.6,9.3,2.9,1033.19,992.62
-53.4376,-107.8488,1674.0,W,S,2023-06-01 10:00:00,289.9,20.6,3.0,1048.06,1041.02
3.5182,57.9984,525.5,E,N,2023-06-01 08:00:00,262.5,8.5,-20.6,938.47,989.76
-76.4607,38.0052,1380.2,W,S,2023-06-01 18:00:00,99.5,23.6,16.1,1024.66,1031.44
44.3274,-96.0815,2549.2,W,S,2023-06-01 01:00:00,59.5,6.6,3.2,971.08,1047.09
-6.2229,-62.2459,270.9,W,S,2023-06-01 17:00:00,74.1,28.3,24.5,1031.41,1085.71
-74.8021,73.3261,4942.1,W,N,2023-06-01 21:00:00,333.1,12.3,-20.3,944.87,1093.42
66.3364,162.4557,267.6,W,N,2023-06-01 14:00:00,293.3,11.3,12.2,1044.59,993.17
-38.6572,51.1426,901.5,W,N,2023-06-01 21:00:00,296.5,17.2,-12.1,1032.34,916.63
-4.3914,-64.0366,1795.6,E,N,2023-06-01 09:00:00,56.2,16.4,-25.1,916.64,971.73
8.1928,59.4813,224.6,W,N,2023-06-01 12:00:00,73.1,18.0,45.7,921.64,900.25
64.8868,127.9904,1823.6,W,S,2023-06-01 08:00:00,151.5,29.0,-20.1,1093.8,1083.14
-40.1653,134.5774,1462.8,W,N,2023-06-01 20:00:00,336.9,17.3,23.4,968.1,989.61
-70.5788,-42.4646,610.3,W,N,2023-06-01 11:00:00,31.0,10.4,13.5,960.8,966.72
20.6894,-98.2766,2691.2,W,N,2023-06-01 06:00:00,108.2,6.9,-33.0,973.04,1007.52
31.5751,-127.6892,3974.8,E,N,2023-06-01 15:00:00,28.8,5.4,8.5,962.99,954.44
-72.8937,-134.581,2098.7,E,N,2023-06-01 15:00:00,355.2,22.5,12.2,951.93,1026.69
-75.6974,142.2988,4563.3,W,N,2023-06-01 09:00:00,172.2,17.1,-45.7,1023.86,1020.21
-17.7843,-53.0532,2901.2,E,N,2023-06-01 01:00:00,272.6,18.1,6.9,935.5,945.02
-79.5992,166.9031,2959.5,E,S,2023-06-01 16:00:00,106.9,8.5,-37.8,1096.81,920.78
-37.9427,-168.3183,460.1,W,S,2023-06-01 07:00:00,260.6,19.0,7.5,910.51,923.7
-30.272,-120.1945,4700.6,W,N,2023-06-01 14:00:00,231.2,24.6,-42.1,1009.59,1074.52
27.6141,-60.1598,1840.6,W,S,2023-06-01 02:00:00,195.5,1.4,-27.7,929.54,920.58
-18.0313,104.4219,1751.8,W,N,2023-06-01 07:00:00,164.1,25.6,6.1,1050.68,1047.56
83.9217,94.1064,1121.3,W,N,2023-06-01 07:00:00,75.5,8.7,-49.6,1032.62,969.42
-58.4173,-19.8991,4965.8,W,S,2023-06-01 20:00:00,235.2,26.8,-22.1,1023.24,1040.12
-42.3891,-151.9255,2663.7,E,N,2023-06-01 06:00:00,43.3,16.4,-41.0,1088.73,972.74
41.7327,104.774,1361.9,W,S,2023-06-01 07:00:00,151.0,26.7,-24.6,902.85,1008.27
-48.3195,-64.3762,3857.3,E,S,2023-06-01 22:00:00,247.1,8.2,-48.1,941.73,945.5
-84.3672,179.6413,1850.5,W,S,2023-06-01 22:00:00,137.8,11.8,-16.7,958.25,1089.89
-1.783,54.0127,2486.3,W,S,2023-06-01 10:00:00,327.7,2.8,42.4,938.87,1095.37
61.3196,79.5579,4940.2,W,N,2023-06-01 18:00:00,61.3,8.3,15.0,950.82,918.99
29.5104,109.1917,1115.5,W,S,2023-06-01 06:00:00,172.3,16.6,-25.9,966.84,911.54
-87.2158,42.9726,4932.8,W,N,2023-06-01 02:00:00,329.1,14.9,35.9,978.36,936.53
-36.7296,-98.6282,1686.8,E,S,2023-06-01 19:00:00,250.6,7.3,-49.3,906.03,902.18
-34.1979,-121.1166,1598.0,E,S,2023-06-01 12:00:00,191.1,8.8,37.5,1023.92,925.43
-30.7991,-169.9158,3185.0,E,S,2023-06-01 11:00:00,331.7,10.4,-24.9,953.42,1045.91
-35.8029,11.6977,657.3,W,S,2023-06-01 19:00:00,175.3,25.5,-27.3,1050.86,914.08
64.2165,11.732,896.5,E,S,2023-06-01 02:00:00,351.9,7.7,-25.1,1076.95,905.87
14.2695,44.5684,1794.5,E,S,2023-06-01 06:00:00,2.8,28.8,9.5,943.04,969.71
-71.3443,-66.7781,721.6,W,N,2023-06-01 19:00:00,150.4,4.0,-34.9,1087.27,935.4
31.5919,149.4709,3181.5,W,S,2023-06-01 16:00:00,54.7,26.7,-22.6,1081.65,935.62
32.4429,-63.6432,4014.9,W,S,2023-06-01 16:00:00,165.6,2.9,4.5,951.26,921.0
80.722,117.7416,455.9,E,S,2023-06-01 04:00:00,51.2,19.9,22.7,993.28,1017.01
-49.9809,-40.311,3208.7,W,S,2023-06-01 16:00:00,117.0,0.7,28.3,926.73,917.11
40.0311,-157.5303,461.1,E,S,2023-06-01 01:00:00,201.3,2.3,0.4,945.82,977.11
46.8005,165.8866,3654.2,W,N,2023-06-01 21:00:00,119.4,3.1,44.2,1088.62,1026.51
84.0248,-42.6295,206.1,W,N,2023-06-01 21:00:00,128.8,2.8,-44.2,941.72,1073.08
13.3368,-142.6442,1463.5,W,N,2023-06-01 04:00:00,291.0,2.0,-48.1,906.11,1098.03
31.7187,-165.4928,42.2,W,N,2023-06-01 03:00:00,125.2,13.1,-21.9,924.98,1063.12
-81.4206,95.9874,723.2,E,S,2023-06-01 01:00:00,45.2,1.4,-49.0,920.28,948.61
-4.0058,17.5787,4931.1,W,S,2023-06-01 10:00:00,265.6,27.2,-49.3,958.36,1096.59
-54.9835,79.4677,3658.2,E,S,2023-06-01 00:00:00,21.2,21.0,12.5,957.03,1071.95
-87.8619,69.5412,2696.5,E,S,2023-06-01 06:00:00,331.7,9.2,30.6,1094.88,1083.26
25.366,143.4443,3931.1,E,N,2023-06-01 06:00:00,148.8,9.7,-42.0,969.71,1073.34
-58.4585,-51.173,486.5,E,N,2023-06-01 15:00:00,124.4,12.3,22.8,923.46,996.88
72.0961,-110.8359,4085.3,E,S,2023-06-01 12:00:00,42.5,4.1,-30.1,1089.59,993.26
31.8521,4.4775,1609.8,W,N,2023-06-01 02:00:00,164.1,18.6,-7.1,1002.09,939.55
-35.6689,145.8247,725.6,E,S,2023-06-01 06:00:00,13.8,2.4,16.3,1016.79,968.09
-71.9623,26.6005,2901.0,W,S,2023-06-01 14:00:00,195.5,13.9,21.5,1079.51,961.28
24.1118,-76.5591,2688.8,W,S,2023-06-01 00:00:00,226.7,4.1,24.7,947.08,1003.39
-53.1645,3.4313,823.4,E,N,2023-06-01 15:00:00,330.6,29.5,16.2,1056.68,1091.62
61.7525,55.8685,330.0,E,N,2023-06-01 11:00:00,328.3,11.0,-8.2,1005.47,989.04
-39.3922,109.5412,3970.6,E,N,2023-06-01 11:00:00,27.6,26.9,41.4,1073.54,957.52
9.6724,-52.1672,952.6,E,S,2023-06-01 13:00:00,150.1,14.1,44.1,1054.05,1060.01
-60.1978,7.5709,1343.5,E,S,2023-06-01 10:00:00,23.1,9.7,-44.0,963.21,950.24
-50.1049,14.2817,2902.1,W,N,2023-06-01 21:00:00,307.0,6.8,-23.4,965.2,1020.72
50.6377,7.9281,981.3,W,N,2023-06-01 21:00:00,104.1,27.2,28.5,1002.98,1083.06
